"geolev2","d_1960_km","d_1986_km","c_local_60","leg_1960","leg_1986","delta_d_km","leg_1986_fixc","delta_leg","median_tau","land_share_pair_60","land_share_oneend_60"
"32014019",13.7205615234375,3.72660375976562,148.771713256836,2011633.71299431,546561.519317653,-9.99395776367187,546374.267941602,-1465259.44505271,4299030.0776219,0.681845538324254,0.467927340975266
"32014020",0,0,1.77699995040894,0,0,0,0,0,2414958.35916176,0.380810195366336,0
"32014021",4.96880517578125,4.96880517578125,169.93815612793,728499.047785178,728748.716294758,0,728499.047785178,0,2967049.60807692,0.555481043475835,0.245529783459654
"32018001",1.24220129394531,0,196.520141601562,182124.761946294,0,-1.24220129394531,0,-182124.761946294,2830498.91750634,0.389247817650078,0.0643436960247085
"32018002",27.2436015625,3.51347583007813,181.303268432617,3994307.90590405,515303.158469986,-23.7301257324219,515126.61617402,-3479181.28973003,7306113.80147936,0.672580362690631,0.546707595095942
"32018003",9.9376103515625,9.9376103515625,183.583984375,1456998.09557036,1457497.43258952,0,1456998.09557036,0,4843711.22693051,0.490664853616883,0.300802014676186
"32018004",26.351068359375,0,199.738891601562,3863449.5676133,0,-26.351068359375,0,-3863449.5676133,7879618.79328973,0.607020524424422,0.490309197559584
"32018005",21.080853515625,19.443525390625,190.336868286133,3090759.48227674,2851680.36728963,-1.637328125,2850703.38472873,-240056.097548008,6265200.72097484,0.640107224881806,0.493321701877706
"32018006",14.1632744140625,2.48440258789062,180.961166381836,2076541.85647205,364374.358147379,-11.6788718261719,364249.523892589,-1712292.33257946,5384965.64390659,0.556397722688605,0.385618403865172
"32018007",31.055033203125,27.581345703125,191.051940917969,4553119.17393833,4045211.99036023,-3.4736875,4043826.10517651,-509293.068761826,8826147.98452955,0.6200621095505,0.515867078358422
"32018008",25.608634765625,16.1486171875,186.605834960938,3754598.0133751,2368433.38166821,-9.460017578125,2367621.95899367,-1386976.05438143,7484253.7216752,0.62454306758628,0.501666318780907
"32018009",31.8401171875,3.72660375976562,178.996017456055,4668223.89525771,546561.519317653,-28.1135134277344,546374.267941602,-4121849.62731611,8704925.41317249,0.64191987806765,0.536273853443207
